stadium no,total runs,batsman runs,batsman avg,batsman strike rate,batsman 4s,batsman 6s,bowler maidens,bowler runs conceded,bowler wickets,bowler average,bowler economy,bowler strike rate
10.0,47.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,47.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,48.0,534.0,41.07,140.89,68.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
10.0,48.0,534.0,41.07,140.89,68.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
10.0,49.0,534.0,41.07,140.89,68.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
10.0,50.0,340.0,37.77,115.25,35.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
10.0,50.0,340.0,37.77,115.25,35.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
10.0,54.0,340.0,37.77,115.25,35.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
10.0,55.0,534.0,41.07,140.89,68.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
41.0,0.0,34.0,8.5,106.25,6.0,1.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,0.0,34.0,8.5,106.25,6.0,1.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,4.0,34.0,8.5,106.25,6.0,1.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,4.0,34.0,8.5,106.25,6.0,1.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,4.0,34.0,8.5,106.25,6.0,1.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,8.0,34.0,8.5,106.25,6.0,1.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,8.0,514.0,42.83,166.34,57.0,31.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,9.0,34.0,8.5,106.25,6.0,1.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,9.0,34.0,8.5,106.25,6.0,1.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,9.0,34.0,8.5,106.25,6.0,1.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,9.0,34.0,8.5,106.25,6.0,1.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,9.0,39.0,19.5,73.58,2.0,2.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,13.0,514.0,42.83,166.34,57.0,31.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,13.0,514.0,42.83,166.34,57.0,31.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,17.0,514.0,42.83,166.34,57.0,31.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,17.0,514.0,42.83,166.34,57.0,31.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,18.0,39.0,19.5,73.58,2.0,2.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,18.0,39.0,19.5,73.58,2.0,2.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,19.0,39.0,19.5,73.58,2.0,2.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,19.0,514.0,42.83,166.34,57.0,31.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,19.0,514.0,42.83,166.34,57.0,31.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,20.0,39.0,19.5,73.58,2.0,2.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,20.0,39.0,19.5,73.58,2.0,2.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,20.0,320.0,35.55,114.69,34.0,9.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,22.0,320.0,35.55,114.69,34.0,9.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,22.0,514.0,42.83,166.34,57.0,31.0,0.0,311.0,4.0,77.75,9.05,51.5
41.0,23.0,514.0,42.83,166.34,57.0,31.0,0.0,311.0,4.0,77.75,9.05,51.5
41.0,27.0,514.0,42.83,166.34,57.0,31.0,0.0,311.0,4.0,77.75,9.05,51.5
41.0,31.0,514.0,42.83,166.34,57.0,31.0,0.0,311.0,4.0,77.75,9.05,51.5
41.0,31.0,514.0,42.83,166.34,57.0,31.0,0.0,311.0,4.0,77.75,9.05,51.5
41.0,35.0,514.0,42.83,166.34,57.0,31.0,0.0,311.0,4.0,77.75,9.05,51.5
41.0,35.0,514.0,42.83,166.34,57.0,31.0,0.0,311.0,4.0,77.75,9.05,51.5
